Timestamp,Buffer._avg (B),Cache._avg (B),Share._avg (B),Swap._avg (B),Total._avg (B),Use._avg (B)
1634562749,0,0,0,0,0,0
1634562750,2252800,4046198784,0,0,23522713600,17711931392
1634562780,2252800,4048345088,0,0,23522713600,17711497216
1634562810,2252800,4048345088,0,0,23522713600,17711497216
1634562840,2252800,4049338368,0,0,23522713600,17715873792
1634562870,2252800,4049879040,0,0,23522713600,17713807360
1634562900,2252800,4052230826.6666665,0,0,23522713600,17715261440
1634562930,2252800,4052230826.6666665,0,0,23522713600,17715261440
1634562960,2252800,4053196800,0,0,23522713600,17717496490.666664
1634562990,2252800,4054538240,0,0,23522713600,17704398165.333336
1634563020,2252800,4057491456,0,0,23522713600,17725296640
1634563050,2252800,4057491456,0,0,23522713600,17725296640
1634563080,2252800,4058618538.6666665,0,0,23522713600,17718493866.666664
1634563110,2252800,4059193344,0,0,23522713600,17718222848
1634563140,2252800,4062790997.3333335,0,0,23522713600,17715107840
1634563170,2252800,4062790997.3333335,0,0,23522713600,17715107840
1634563200,2252800,4066728618.6666665,0,0,23522713600,17719586133.333336
1634563230,2252800,4068595712,0,0,23522713600,17717679445.333336
1634563260,2252800,4072602282.666667,0,0,23522713600,17720670890.666668
1634563290,2252800,4072602282.666667,0,0,23522713600,17720670890.666668
1634563320,2252800,4073779882.6666665,0,0,23522713600,17737515008
1634563350,2252800,4075431253.333333,0,0,23522713600,17684561920
1634563380,2252800,4077974186.666667,0,0,23522713600,17616705536
1634563410,2252800,4077974186.666667,0,0,23522713600,17616705536
1634563440,2252800,4079316309.3333335,0,0,23522713600,17618445653.333332
1634563470,2252800,4079618048,0,0,23522713600,17616780629.333332
1634563500,2252800,4082012842.666667,0,0,23522713600,17610388821.333336
1634563530,2252800,4082012842.666667,0,0,23522713600,17610388821.333336
1634563560,2252800,4083152896,0,0,23522713600,17610130773.333332
1634563590,2252800,4084484096,0,0,23522713600,17613765290.666664
1634563620,2252800,4091215189.333333,0,0,23522713600,17618591744
1634563650,2252800,4091215189.333333,0,0,23522713600,17618591744
1634563680,2252800,4092045312,0,0,23522713600,17616472064
1634563710,2252800,4092809216,0,0,23522713600,17613877248
1634563740,2252800,4095019690.666667,0,0,23522713600,17616276138.666664
1634563770,2252800,4095019690.666667,0,0,23522713600,17616276138.666664
1634563800,2252800,4096162474.6666665,0,0,23522713600,17620304554.666664
1634563830,2252800,4096536576,0,0,23522713600,17622657024
1634563860,2252800,4099523925.333333,0,0,23522713600,17620185770.666668
1634563890,2252800,4099523925.333333,0,0,23522713600,17620185770.666668
1634563920,2252800,4101027157.3333335,0,0,23522713600,17638295552
1634563950,2252800,4101593770.666667,0,0,23522713600,17619826005.333332
1634563980,2252800,4106201088,0,0,23522713600,17626170709.333332
1634564010,2252800,4106201088,0,0,23522713600,17626170709.333332
1634564040,2252800,4108191061.333333,0,0,23522713600,17625657344
1634564070,2252800,4108939946.666667,0,0,23522713600,17622583978.666668
1634564100,2252800,4111017984,0,0,23522713600,17624803328
1634564130,2252800,4111017984,0,0,23522713600,17624803328
1634564160,2252800,4112301397.333333,0,0,23522713600,17624660650.666668
1634564190,2252800,4113472170.666667,0,0,23522713600,17625689429.333332
1634564220,2252800,4116050602.666667,0,0,23522713600,17627123029.333332
1634564250,2252800,4116050602.666667,0,0,23522713600,17627123029.333332
1634564280,2252800,4117168128,0,0,23522713600,17628499968
1634564310,2252800,4117997568,0,0,23522713600,17628600320
1634564340,2252800,4120285866.666667,0,0,23522713600,17626626048
1634564370,2252800,4120285866.666667,0,0,23522713600,17626626048
1634564400,2252800,4121612970.6666665,0,0,23522713600,17631141888
1634564430,2252800,4122269696,0,0,23522713600,17636051626.666668
1634564460,2252800,4125573802.666667,0,0,23522713600,17640320341.333332
1634564490,2252800,4125573802.666667,0,0,23522713600,17640320341.333332
1634564520,2252800,4126970538.666667,0,0,23522713600,17649722709.333336
1634564550,2252800,4127694165.3333335,0,0,23522713600,17639472469.333336
1634564580,2252800,4130025472,0,0,23522713600,17637382144
1634564610,2252800,4130025472,0,0,23522713600,17637382144
1634564640,2252800,4131224234.666667,0,0,23522713600,17638739285.333332
1634564670,2252800,4131772416,0,0,23522713600,17636431872
1634564700,2252800,4133978794.666667,0,0,23522713600,17640811178.666668
1634564730,2252800,4133978794.666667,0,0,23522713600,17640811178.666668
1634564760,2252800,4135069013.333333,0,0,23522713600,17641594880
1634564790,2252800,4136364032,0,0,23522713600,17645154986.666668
1634564820,2252800,4138942464,0,0,23522713600,17643571882.666668
1634564850,2252800,4138942464,0,0,23522713600,17643571882.666668
1634564880,2252800,4139935744,0,0,23522713600,17638015658.666664
1634564910,2252800,4140603392,0,0,23522713600,17638782976
1634564940,2252800,4142747648,0,0,23522713600,17639267669.333332
1634564970,2252800,4142747648,0,0,23522713600,17639267669.333332
1634565000,2252800,4143996245.333333,0,0,23522713600,17639882069.333332
1634565030,2252800,4144601088,0,0,23522713600,17643337728
1634565060,2252800,4113518592,0,0,23522713600,17646321664
1634565090,2252800,4113518592,0,0,23522713600,17646321664
1634565120,2252800,4114746026.666667,0,0,23522713600,17665613141.333332
1634565150,2252800,4115417088,0,0,23522713600,17647901354.666668
1634565180,2252800,4117828949.333333,0,0,23522713600,17646637056
1634565210,2252800,4117828949.333333,0,0,23522713600,17646637056
1634565240,2252800,4118919850.666667,0,0,23522713600,17647005696
1634565270,2252800,4119335594.6666665,0,0,23522713600,17646336682.666668
1634565300,2252800,4121787050.666667,0,0,23522713600,17650025130.666668
1634565330,2252800,4121787050.666667,0,0,23522713600,17650025130.666668
1634565360,2252800,4122863616,0,0,23522713600,17652939434.666668
1634565390,2252800,4123967488,0,0,23522713600,17649532245.333336
1634565420,2252800,4126549333.3333335,0,0,23522713600,17653997568
1634565450,2252800,4126549333.3333335,0,0,23522713600,17653997568
1634565480,2252800,4127645696,0,0,23522713600,17653770922.666668
1634565510,2252800,4128290816,0,0,23522713600,17654450858.666668
1634565540,2252800,4130300586.6666665,0,0,23522713600,17656449024
1634565570,2252800,4130300586.6666665,0,0,23522713600,17656449024
1634565600,2252800,4131743061.3333335,0,0,23522713600,17658457429.333332
1634565630,2252800,4132184746.6666665,0,0,23522713600,17657614336
1634565660,2252800,4067639978.666667,0,0,23522713600,17677919573.333336
1634565690,2252800,4067639978.666667,0,0,23522713600,17677919573.333336
1634565720,2252800,4069465429.333333,0,0,23522713600,17671257429.333336
1634565750,2252800,4070426624,0,0,23522713600,17676792490.666668
1634565780,2252800,4072914944,0,0,23522713600,17679049386.666664
1634565810,2252800,4072914944,0,0,23522713600,17679049386.666664
1634565840,2252800,4073971029.333333,0,0,23522713600,17688977408
1634565870,2252800,4074433194.666667,0,0,23522713600,17702518784
1634565900,2252800,4076978858.666667,0,0,23522713600,17731765589.333336
1634565930,2252800,4076978858.666667,0,0,23522713600,17731765589.333336
1634565960,2252800,4078166016,0,0,23522713600,17777719296
1634565990,2252800,4079237802.666667,0,0,23522713600,17776199680
1634566020,2252800,4082007381.3333335,0,0,23522713600,17783998464
1634566050,2252800,4082007381.3333335,0,0,23522713600,17783998464
1634566080,2252800,4083097600,0,0,23522713600,17799874560
1634566110,2252800,4083988480,0,0,23522713600,17799353002.666668
1634566140,0,0,0,0,0,0
1634566170,0,0,0,0,0,0
1634566200,0,0,0,0,0,0
1634566230,0,0,0,0,0,0
1634566260,0,0,0,0,0,0
1634566290,0,0,0,0,0,0
1634566320,0,0,0,0,0,0
